CPT_Si_c600_wl;CPT_Si_c600;CPT_InGaAs_c800_wl;CPT_InGaAs_c800;CPT_InGaAs_c1000_wl;CPT_InGaAs_c1000;CPT_InGaAs_c1200_wl;CPT_InGaAs_c1200;CPT_InGaAs_c1400_wl;CPT_InGaAs_c1400;Uni_Si_c600_wl;Uni_Si_c600;Uni_InGaAsi_c700_wl;Uni_InGaAsi_c700;Uni_InGaAsi_c900_wl;Uni_InGaAsi_c900;Uni_InGaAsi_c1100_wl;Uni_InGaAsi_c1100;Uni_InGaAsi_c1300_wl;Uni_InGaAsi_c1300;Fluorimeter_wl;Fluorimeter
-131.82715;-7.17556551066699E-23;476.80057;4.18203550921015E-23;677.13953;8.11256561687349E-23;877.48694;1.19520388095708E-22;1077.8428;2.81367655546735E-22;4.035593400000000202e+02;6.193236367400274667e-02;5.521127800000000434e+02;3.495560288514973357e-02;6.521994700000000194e+02;1.218622517408847333e-01;8.049140400000000000e+02;3.326502874778154983e-01;1.005580900000000042e+03;9.757940783924339279e-01;322;0.12066
-130.28294;4.38005193914573E-23;478.28381;4.02826678281134E-23;678.62128;8.15584100936115E-23;878.96716;1.17848353834002E-22;1079.3214;2.76451389435556E-22;4.049731100000000197e+02;6.411799945477231200e-02;5.534704600000000028e+02;3.560525596402333570e-02;6.535561699999999519e+02;1.229862013222218220e-01;8.062690499999999929e+02;3.342427556442826853e-01;1.006933599999999956e+03;9.732872240415213483e-01;323;0.12527
-128.73872;3.79480272418844E-23;479.76709;5.00904454334171E-23;680.10309;8.27449203425441E-23;880.44739;1.21922306882147E-22;1080.8;2.82826307090735E-22;4.063868499999999813e+02;6.633604264512391047e-02;5.548281299999999874e+02;3.628488965975325969e-02;6.549128500000000486e+02;1.240730028035331028e-01;8.076240500000000111e+02;3.359137777943252967e-01;1.008286299999999983e+03;9.714722225239283970e-01;324;0.13112
-127.1945;4.30797502832408E-24;481.25034;3.50624053164062E-23;681.58484;8.133866684839E-23;881.92761;1.21811214305235E-22;1082.2788;2.76878608754479E-22;4.078005800000000249e+02;6.811071840638924235e-02;5.561857700000000477e+02;3.699786609115433833e-02;6.562695099999999684e+02;1.251634309408121704e-01;8.089790199999999913e+02;3.376558808156218672e-01;1.009639000000000010e+03;9.691573461724628524e-01;325;0.13898
-125.65027;-2.42818640880043E-23;482.73358;4.96109188149926E-23;683.06659;8.44285378809273E-23;883.40784;1.26684606543019E-22;1083.7574;2.8352998198975E-22;4.092142999999999802e+02;6.997341170971439761e-02;5.575434000000000196e+02;3.774477815036842571e-02;6.576261600000000271e+02;1.261910279971515947e-01;8.103339899999999716e+02;3.393781150989769735e-01;1.010991599999999949e+03;9.656688803998698667e-01;326;0.14798
-124.10604;-6.37790350829782E-26;484.21683;4.3098373950667E-23;684.54834;8.17756229657201E-23;884.88806;1.25574595342508E-22;1085.2361;2.76835492840298E-22;4.106279900000000112e+02;7.210791035158009565e-02;5.589010100000000421e+02;3.851768182797278561e-02;6.589827900000000227e+02;1.274359518346600550e-01;8.116889300000000276e+02;3.410055507765515359e-01;1.012344299999999976e+03;9.643448594683784458e-01;327;0.15784
-122.56181;2.39339153171291E-23;485.70007;4.85070300440848E-23;686.03009;8.46340540185399E-23;886.36829;1.29965505849549E-22;1086.7147;2.82969921403243E-22;4.120416700000000105e+02;7.343253472733693443e-02;5.602586099999999760e+02;3.929802514337291108e-02;6.603393999999999551e+02;1.285819114117828788e-01;8.130438599999999951e+02;3.428245531199062834e-01;1.013696900000000028e+03;9.631698347030002161e-01;328;0.16397
-121.01758;-5.91385857685012E-23;487.18329;4.38422076919169E-23;687.51184;8.4388557942437E-23;887.84851;1.28889834663831E-22;1088.1934;2.76043931840677E-22;4.134553300000000036e+02;7.527823142735498574e-02;5.616161799999999857e+02;4.006858433332464997e-02;6.616960000000000264e+02;1.297937631927951474e-01;8.143987799999999879e+02;3.446037347162422271e-01;1.015049499999999966e+03;9.595368523687872742e-01;329;0.16893
-119.47334;-9.06524518590997E-23;488.66653;5.41141819605378E-23;688.99353;8.45570119731223E-23;889.32867;1.33498631139513E-22;1089.672;2.83133835237202E-22;4.148689699999999903e+02;7.723096189751821328e-02;5.629737400000000207e+02;4.082181845372657991e-02;6.630525800000000345e+02;1.310815902497179386e-01;8.157536700000000565e+02;3.464082596970227135e-01;1.016402100000000019e+03;9.568853155796358534e-01;330;0.17128
-117.9291;-7.36356890892408E-23;490.14975;4.25836000217328E-23;690.47528;8.15476069872003E-23;890.8089;1.31796435831716E-22;1091.1506;2.76605091083599E-22;4.162825900000000274e+02;7.902024281803177175e-02;5.643312799999999925e+02;4.155552073774360089e-02;6.644091399999999794e+02;1.325369576211773981e-01;8.171085600000000113e+02;3.482577249528850949e-01;1.017754699999999957e+03;9.546891664207493022e-01;331;0.17359
-116.38485;-1.08917976925785E-22;491.63297;5.19379181880086E-23;691.95703;8.4032566704046E-23;892.28906;1.36416439718063E-22;1092.6292;2.81697297746452E-22;4.176961999999999762e+02;8.111638805882238901e-02;5.656888000000000147e+02;4.227615509759333201e-02;6.657656899999999496e+02;1.339268503106099129e-01;8.184634200000000419e+02;3.506426377071850120e-01;1.019107300000000009e+03;9.523534233703782048e-01;332;0.17654
-114.8406;-1.29406049263197E-22;493.11618;4.17216453182617E-23;693.43872;8.41861401731638E-23;893.76929;1.34900600161367E-22;1094.1078;2.75794134323169E-22;4.191097899999999754e+02;8.252169799678102380e-02;5.670463099999999486e+02;4.300182537079214051e-02;6.671222199999999702e+02;1.353945929243001722e-01;8.198182699999999841e+02;3.527645058144898704e-01;1.020459899999999948e+03;9.503005951740546298e-01;333;0.1805
-113.29635;-1.35992005077154E-22;494.5994;4.57025030284908E-23;694.92047;8.65889700350413E-23;895.24945;1.40457444069551E-22;1095.5864;2.82702203581851E-22;4.205233600000000251e+02;8.434371653071577601e-02;5.684038000000000466e+02;4.375366397428789161e-02;6.684787400000000162e+02;1.369624570827026877e-01;8.211731099999999515e+02;3.546795720292472698e-01;1.021812400000000025e+03;9.487251522981408058e-01;334;0.18445
-111.7521;-7.36057974113071E-23;496.08261;4.56847945264558E-23;696.40216;8.45705984084178E-23;896.72961;1.3921478536148E-22;1097.0651;2.77006650799017E-22;4.219369100000000117e+02;8.573388551198216079e-02;5.697612599999999929e+02;4.454704141057341110e-02;6.698352399999999989e+02;1.385037623349896219e-01;8.225279199999999946e+02;3.570470150896931649e-01;1.023164899999999989e+03;9.466763603581452857e-01;335;0.18939
-110.20784;-7.77417946467739E-23;497.5658;4.7795780958349E-23;697.88385;8.59597128358311E-23;898.20978;1.45908139126616E-22;1098.5436;2.82898991945177E-22;4.233504399999999919e+02;8.723828349796494686e-02;5.711187099999999646e+02;4.539438089963476752e-02;6.711917200000000321e+02;1.400112764409976174e-01;8.238827199999999493e+02;3.595190639292464296e-01;1.024517399999999952e+03;9.466524765403316888e-01;336;0.19223
-108.66358;-1.75297292386188E-22;499.04901;4.92877510268561E-23;699.36554;8.37901575659285E-23;899.68994;1.4525101453497E-22;1100.0222;2.75446535564846E-22;4.247639599999999973e+02;8.725107950400433354e-02;5.724761499999999614e+02;4.630368748429383036e-02;6.725481899999999769e+02;1.415733512232575930e-01;8.252375100000000430e+02;3.618035036670315119e-01;1.025869899999999916e+03;9.466811850830130215e-01;337;0.19445
-107.11932;-1.93659954946723E-22;500.5322;4.29993681072066E-23;700.84723;8.69848898222194E-23;901.1701;1.52909749141733E-22;1101.5007;2.8251463292263E-22;4.261774599999999964e+02;8.846528557813643223e-02;5.738335600000000341e+02;4.727701270601614852e-02;6.739046399999999721e+02;1.431110440573103437e-01;8.265922799999999597e+02;3.640111552298201381e-01;1.027222400000000107e+03;9.447039641649683794e-01;338;0.19528
-105.57505;-1.59911139339262E-22;502.01538;4.48252195269253E-23;702.32892;8.37664480387409E-23;902.65027;1.55166609474831E-22;1102.9794;2.76303677532022E-22;4.275909399999999891e+02;8.910925016737544779e-02;5.751909600000000182e+02;4.831158276439498356e-02;6.752610700000000179e+02;1.446844790492104182e-01;8.279470300000000407e+02;3.670360082850971373e-01;1.028574800000000096e+03;9.433627425646889941e-01;339;0.19443
-104.03078;-2.68590534574584E-22;503.49857;5.325013098532E-23;703.81061;8.77604539567492E-23;904.13037;1.662297005581E-22;1104.4579;2.81795623535177E-22;4.290043999999999755e+02;9.009240484316742570e-02;5.765483299999999645e+02;4.940421152554307083e-02;6.766174800000000005e+02;1.462025681402389921e-01;8.293017599999999447e+02;3.702433328170842142e-01;1.029927200000000084e+03;9.426526202217900829e-01;340;0.19357
-102.48651;-3.58694065287289E-22;504.98175;4.44559548750493E-23;705.2923;8.53986585521133E-23;905.61053;1.7126986708252E-22;1105.9364;2.74535067777164E-22;4.304178400000000124e+02;9.086326339804336183e-02;5.779056900000000496e+02;5.054801962692289513e-02;6.779738800000000083e+02;1.477301460216755014e-01;8.306564799999999877e+02;3.737797736575788621e-01;1.031279700000000048e+03;9.397742173625074358e-01;341;0.19331
-100.94223;-3.28529888224868E-22;506.4649;4.80197677506041E-23;706.77393;8.8664623412569E-23;907.09064;1.86628407351549E-22;1107.415;2.81260945237981E-22;4.318312700000000177e+02;9.261920267821013852e-02;5.792630400000000463e+02;5.173199409468385440e-02;6.793302700000000414e+02;1.491249328382153183e-01;8.320111900000000560e+02;3.771307886371489393e-01;1.032632100000000037e+03;9.372576201034630294e-01;342;0.19261
-99.397953;-2.49211980757735E-22;507.94809;4.601742134198E-23;708.25562;8.54506817566486E-23;908.57074;1.89795584475484E-22;1108.8936;2.74069352711638E-22;4.332446800000000167e+02;9.380594672491335273e-02;5.806203600000000051e+02;5.294264303271142141e-02;6.806866300000000365e+02;1.506103214803828638e-01;8.333658699999999726e+02;3.809752845865801429e-01;1.033984400000000051e+03;9.339945697960370108e-01;343;0.19388
-97.853672;-2.60046246185306E-22;509.43124;5.19449503610885E-23;709.7373;8.8030724828384E-23;910.0509;2.03439886134762E-22;1110.3721;2.78951184436078E-22;4.346580700000000093e+02;9.503039178895664185e-02;5.819776699999999892e+02;5.416716323572425690e-02;6.820429799999999432e+02;1.519933451165871863e-01;8.347205400000000282e+02;3.851010562663449432e-01;1.035336800000000039e+03;9.331196620009728493e-01;344;0.19488
